Question,Answer
Who acted as Nina in the movie 'The Scapegoat'?,Sheridan Smith
Who acted as Sukie Ridgemont in the movie 'The Witches of Eastwick'?,Michelle Pfeiffer
Who acted as Mr. Longbaugh in the movie 'The Way of the Gun'?,Benicio del Toro
Who acted as Ed Peters in the movie 'Ghosts of Mississippi'?,Craig T. Nelson
Who acted as Rutherford in the movie 'Risky Business'?,Richard Masur
"Who acted as Daniel LaRusso in the movie 'The Karate Kid, Part III'?",Ralph Macchio
Who acted as Steve in the movie 'Begin Again'?,James Corden
Who acted as Paul Prior in the movie 'In My Father's Den'?,Matthew Macfadyen
Who acted as Ashley in the movie 'Born To Race'?,Sara Swain
Who acted as Marley Neville in the movie 'I Am Legend'?,Willow Smith
Who acted as Mikhail Polenin in the movie 'K-19: The Widowmaker'?,Liam Neeson
Who acted as Ma-Ma in the movie 'Dredd'?,Lena Headey
Who acted as Chloé Girard in the movie 'My Old Lady'?,Kristin Scott Thomas
Who acted as J.J. Blodgett in the movie 'Avanti!'?,Edward Andrews
Who acted as Simon in the movie 'True Lies'?,Bill Paxton
Who acted as Farley in the movie 'Van Wilder: Freshman Year'?,Nestor Aaron Absera
Who acted as Leslie Burke in the movie 'Bridge to Terabithia'?,AnnaSophia Robb
Who acted as Nancy Mercer in the movie 'Shattered'?,Debi A. Monahan
Who acted as Bridges in the movie 'The Trials of Cate McCall'?,Nick Nolte
Who acted as Gerry in the movie 'City of the Living Dead'?,Carlo De Mejo
Who acted as Susan Williams in the movie 'The Grudge'?,KaDee Strickland
Who acted as Obaid in the movie 'Flightplan'?,Michael Irby
Who acted as Al Alvarez in the movie 'Sylvia'?,Jared Harris
Who acted as Marty Mikalski in the movie 'The Cabin in the Woods'?,Fran Kranz
Who acted as Rusty in the movie 'Battle For SkyArk'?,Garrett Coffey
Who acted as Beatrix in the movie '1492: Conquest of Paradise'?,Ángela Molina
Who acted as Jason in the movie 'Because I Said So'?,Tom Everett Scott
Who acted as Andrzej in the movie 'Knife in the Water'?,Leon Niemczyk
Who acted as Grace Connelly in the movie 'Bruce Almighty'?,Jennifer Aniston
Who acted as Úrsula in the movie 'Sleep Tight'?,Iris Almeida
Who acted as Viola De Lesseps in the movie 'Shakespeare in Love'?,Gwyneth Paltrow
Who acted as Fairchild in the movie 'Sabrina'?,John Wood
Who acted as Newberry in the movie 'Disturbing Behavior'?,William Sadler
Who acted as Eli Lapp in the movie 'Witness'?,Jan Rubes
Who acted as Kit in the movie 'Failure to Launch'?,Zooey Deschanel
Who acted as  in the movie 'CRAZY'?,Pierre-Luc Brillant
Who acted as Rothgar in the movie 'Outlander'?,John Hurt
Who acted as Nanny in the movie '101 Dalmatians'?,Joan Plowright
Who acted as Samayel in the movie 'The Prophecy II'?,Glenn Danzig
Who acted as Maggie in the movie 'The Women'?,Cloris Leachman
Who acted as Insp. Harry Calahan in the movie 'Magnum Force'?,Clint Eastwood
Who acted as Simon in the movie 'Rogue'?,Stephen Curry
Who acted as David Spritz in the movie 'The Weather Man'?,Nicolas Cage
Who acted as Nathan Hayes in the movie 'Courageous'?,Ken Bevel
Who acted as Fritz Curtis in the movie 'Baby Boom'?,Sam Wanamaker
Who acted as Max Simkin in the movie 'The Cobbler'?,Adam Sandler
Who acted as Jean Pierre Le Pelt in the movie '102 Dalmatians'?,Gérard Depardieu
Who acted as Mrs. Smalls in the movie 'Big Nothing'?,Mimi Rogers
Who acted as Stacy in the movie 'Extreme Movie'?,Cherilyn Wilson
Who acted as Violet Devereaux in the movie 'The Skeleton Key'?,Gena Rowlands
Who acted as Theodore Roosevelt in the movie 'The Wind and the Lion'?,Brian Keith
Who acted as Christophe in the movie 'The Serpent and the Rainbow'?,Conrad Roberts
Who acted as Sam in the movie 'Happythankyoumoreplease'?,Josh Radnor
Who acted as Rarity / Princess Luna in the movie 'My Little Pony: Equestria Girls'?,Tabitha St. Germain
Who acted as Joichiro Nishi in the movie 'Gantz: Perfect Answer'?,Kanata Hongo
Who acted as Frank Dux in the movie 'Bloodsport'?,Jean-Claude Van Damme
Who acted as Marija in the movie 'A Serbian Film'?,Jelena Gavrilović
Who acted as Lucas Harper in the movie 'Mindhunters'?,Jonny Lee Miller
Who acted as Chad Danforth in the movie 'High School Musical 3: Senior Year'?,Corbin Bleu
Who acted as Melvin Belli in the movie 'Zodiac'?,Brian Cox
Who acted as Arturo bambino in the movie 'The Mafia Kills Only in Summer'?,Alex Bisconti
Who acted as Dr. Hal Lerner in the movie 'The Rewrite'?,J.K. Simmons
Who acted as Vera Segert in the movie 'A Woman's Face'?,Osa Massen
Who acted as Finn in the movie 'Troll Hunter'?,Hans Morten Hansen
Who acted as Linda Sinclair in the movie 'The English Teacher'?,Julianne Moore
Who acted as Robert Ford in the movie 'The Assassination of Jesse James by the Coward Robert Ford'?,Casey Affleck
Who acted as Steve in the movie 'My Fake Fiance'?,Burgess Jenkins
Who acted as Katie in the movie 'Martha Marcy May Marlene'?,Maria Dizzia
Who acted as Kitty in the movie 'Six Degrees of Separation'?,Mary Beth Hurt
Who acted as Kathy Sheppard in the movie 'Knight Moves'?,Diane Lane
Who acted as The Little Prince in the movie 'The Little Prince'?,Steven Warner
Who acted as Young Kysten Ellison in the movie 'The Brooke Ellison Story'?,Jenson Goins
"Who acted as Sheriff Hutchins in the movie 'Guns, Girls and Gambling'?",Dane Cook
Who acted as  in the movie 'Life Itself'?,Martin Scorsese
Who acted as Sally in the movie 'Catwoman'?,Alex Borstein
Who acted as Docent in the movie 'The Maiden Heist'?,Wynn Everett
Who acted as  in the movie 'Haider'?,Irrfan Khan
Who acted as Waitress in the movie 'A Kiss Before Dying'?,Briony Glassco
Who acted as Von Zimmel in the movie 'OSS 117: Lost in Rio'?,Rüdiger Vogler
Who acted as Gig in the movie 'Down by Law'?,Rockets Redglare
Who acted as Blakelock in the movie 'The Gauntlet'?,William Prince
Who acted as Harry Kane in the movie 'Magicians'?,David Mitchell
Who acted as Margaret in the movie 'Four Rooms'?,Marisa Tomei
Who acted as Deputy Pete Willis in the movie 'Eight Legged Freaks'?,Rick Overton
Who acted as Kim in the movie 'Death Proof'?,Tracie Thoms
Who acted as Vishal Malik in the movie 'Don : The Chase Begins Again'?,Om Puri
Who acted as Dr. Harding in the movie 'Shelter'?,Jeffrey DeMunn
Who acted as Becca Crane in the movie 'Vampires Suck'?,Jenn Proske
Who acted as Dr. Murray Kaplan in the movie 'The Doctor'?,Mandy Patinkin
Who acted as Steve Kemp in the movie 'Cujo'?,Christopher Stone
Who acted as Neighborhood Kid in the movie 'The Pagemaster'?,Alexis Kirschner
Who acted as Justin in the movie 'At Middleton'?,Nicholas Braun
Who acted as Frank in the movie 'The Invention of Lying'?,Jonah Hill
Who acted as Kimberly in the movie 'Comet'?,Emmy Rossum
Who acted as Luca in the movie 'The East'?,Shiloh Fernandez
Who acted as Philip Henslowe in the movie 'Shakespeare in Love'?,Geoffrey Rush
Who acted as Jim McCrea in the movie 'Perrier’s Bounty'?,Jim Broadbent
Who acted as Vicenzo in the movie 'The Pink Panther 2'?,Andy García
Who acted as Camille Foster in the movie 'Camille'?,Sienna Miller
Who acted as Émilien Coutant-Kerbalec in the movie 'Taxi'?,Frédéric Diefenthal
Who acted as Rankin Fitch in the movie 'Runaway Jury'?,Gene Hackman
Who acted as Elvin Glyde in the movie 'The Majestic'?,Bob Balaban
Who acted as Porourangi in the movie 'Whale Rider'?,Cliff Curtis
Who acted as Cpl. Thomas E. Clark in the movie 'Casualties of War'?,Don Harvey
Who acted as Orville Beecham in the movie 'Messenger of Death'?,Charles Dierkop
Who acted as Himself in the movie 'Inside Job'?,George W. Bush
Who acted as Alexandra Fredericks in the movie 'Anamorph'?,Amy Carlson
Who acted as Smaug in the movie 'The Hobbit'?,Richard Boone
Who acted as Wade Walker in the movie 'Peeples'?,Craig Robinson
Who acted as Kate Ryan in the movie 'Rogue'?,Radha Mitchell
Who acted as Mrs. Smolensky in the movie 'Accidents Happen'?,Wendy Playfair
Who acted as Simon Phoenix in the movie 'Demolition Man'?,Wesley Snipes
Who acted as Sidney in the movie 'The Ice Harvest'?,Ned Bellamy
Who acted as Rolland Sallinger in the movie 'The Keeper'?,Steven Seagal
Who acted as Minister Mason in the movie 'Snowpiercer'?,Tilda Swinton
Who acted as Kendall Mullins in the movie 'The Hard Corps'?,Peter Bryant
Who acted as Chalker in the movie 'Wyrmwood: Road Of The Dead'?,Yure Covich
Who acted as Billy in the movie 'Stranger Than Paradise'?,Danny Rosen
Who acted as Polite Leader in the movie 'The Purge'?,Rhys Wakefield
Who acted as  in the movie 'Unconditional Love'?,Meredith Eaton
Who acted as Monique Vasquez in the movie 'The Game Plan'?,Roselyn Sánchez
Who acted as Minos P. Dautrieve in the movie 'Heaven's Prisoners'?,Vondie Curtis-Hall
Who acted as Chad Danforth in the movie 'High School Musical 2'?,Corbin Bleu
Who acted as Alice Rico in the movie 'The Brothers Rico'?,Dianne Foster
Who acted as Matilde Kahlo in the movie 'Frida'?,Patricia Reyes Spíndola
Who acted as Barton Fink in the movie 'Barton Fink'?,John Turturro
Who acted as Cheryl in the movie 'Something New'?,Wendy Raquel Robinson
Who acted as Spike in the movie 'Stay Tuned'?,Jeffrey Jones
Who acted as Kirby Keger in the movie 'St. Elmo's Fire'?,Emilio Estevez
Who acted as Nico Bradley / Skinless Nico / Pseudo Pinhead in the movie 'Hellraiser: Revelations'?,Jay Gillespie
Who acted as Tom Stall in the movie 'A History of Violence'?,Viggo Mortensen
Who acted as Hammond in the movie 'No Escape'?,Pierce Brosnan
Who acted as Coach Ed Gennero in the movie 'Necessary Roughness'?,Héctor Elizondo
Who acted as Rosamaria in the movie 'And Soon the Darkness'?,Adriana Barraza
Who acted as Eddie Lowery in the movie 'The Greatest Game Ever Played'?,Josh Flitter
Who acted as Heather in the movie 'Sorority Wars'?,Kristen Hager
Who acted as Lawyer #1 in the movie 'Deception'?,Bruce Altman
Who acted as Abby Cairn in the movie 'Joshua'?,Vera Farmiga
Who acted as Sigrid in the movie 'Arn: The Knight Templar'?,Mirja Turestedt
Who acted as Gilbert Martin in the movie 'Drums Along the Mohawk'?,Henry Fonda
Who acted as Kenny in the movie 'Can't Hardly Wait'?,Seth Green
Who acted as Christian in the movie 'Nine Dead'?,John Cates
Who acted as Darryl in the movie 'Little Man'?,Shawn Wayans
Who acted as Gloria in the movie 'Personal Effects'?,Kathy Bates
Who acted as Ellis in the movie 'Brain Dead'?,Brian Brophy
Who acted as Malcolm in the movie 'Macbeth'?,Jack Reynor
Who acted as Katrina in the movie 'Vampires'?,Sheryl Lee
Who acted as Arthur Eddington in the movie 'Einstein and Eddington'?,David Tennant
Who acted as Captain Rich in the movie 'Flightplan'?,Sean Bean
Who acted as Preed in the movie 'Titan A.E.'?,Nathan Lane
Who acted as Aaron in the movie 'Death at a Funeral'?,Chris Rock
Who acted as Raymond Shaw in the movie 'The Manchurian Candidate'?,Laurence Harvey
Who acted as Gaynor in the movie 'Dracula A.D. 1972'?,Marsha A. Hunt
Who acted as Col. Vladimir Klimenko in the movie 'Black Eagle'?,Vladimir Skomarovsky
Who acted as Raymond in the movie 'Honey'?,Zachary Isaiah Williams
Who acted as Krystal in the movie 'Swamp Shark'?,Sophie Sinise
Who acted as Tom Peterson in the movie 'After.Life'?,Josh Charles
Who acted as Kaoru Kamiya in the movie 'Rurouni Kenshin: The Legend Ends'?,Emi Takei
Who acted as Nathan Bartnick in the movie 'Welcome to the Punch'?,Daniel Mays
Who acted as Chuck in the movie 'Shock Waves'?,Fred Buch
Who acted as Lily in the movie 'Black Moon'?,Cathryn Harrison
Who acted as Wayne in the movie 'Crazy Heart'?,Robert Duvall
Who acted as Herself in the movie 'Deep Water'?,Clare Crowhurst
Who acted as Momo in the movie 'Shoot the Piano Player'?,Claude Mansard
Who acted as Lynch in the movie 'Dead Fish'?,Gary Oldman
Who acted as Sander Sanderson in the movie 'Detention'?,A.D. Johnson
Who acted as Donnie Eaton in the movie 'Lakeview Terrace'?,Justin Chambers
Who acted as Paul Emmett in the movie 'The Ghost Writer'?,Tom Wilkinson
Who acted as Casey Jacobs in the movie 'Cyberbully'?,Maisie Williams
Who acted as Pinkie Pie / Fluttershy in the movie 'My Little Pony: Equestria Girls'?,Andrea Libman
Who acted as Carol in the movie 'Magicians'?,Sarah Hadland
Who acted as Dean Trumbell in the movie 'Punch-Drunk Love'?,Philip Seymour Hoffman
Who acted as Bill in the movie 'Halloween: Resurrection'?,Thomas Ian Nicholas
Who acted as William Bruce in the movie 'Authors Anonymous'?,Jonathan Bennett
Who acted as Olivia Lawrence in the movie 'Masquerade'?,Meg Tilly
Who acted as Dean Solomon in the movie 'The Brothers Solomon'?,Will Forte
Who acted as Pete Regazolli in the movie 'Neighbors'?,Dave Franco
Who acted as Judge in the movie 'Panther'?,Kadeem Hardison
Who acted as Iro - the dog in the movie 'Playing with Love'?,Xylot
Who acted as Roberta Finklestein in the movie 'The Rebound'?,Joanna Gleason
Who acted as Jack in the movie 'Closing the Ring'?,Christopher Plummer
Who acted as Hans Axgil in the movie 'The Danish Girl'?,Matthias Schoenaerts
Who acted as Slip in the movie 'The Neverending Story III: Escape from Fantasia'?,Jack Black
Who acted as Dr. Sara Jean Reynolds in the movie 'Flubber'?,Marcia Gay Harden
Who acted as Sara in the movie 'Race to Witch Mountain'?,AnnaSophia Robb
Who acted as Le Professeur de Flamenco in the movie 'A Pigeon Sat on a Branch Reflecting on Existence'?,Lotti Törnros
Who acted as Tina Quintero in the movie 'Law of Desire'?,Carmen Maura
Who acted as Mr. Frying Pan in the movie 'Kiss Kiss Bang Bang'?,Dash Mihok
Who acted as Yuri Boyka in the movie 'Undisputed II: Last Man Standing'?,Scott Adkins
Who acted as Kathleen Carangi in the movie 'Gia'?,Mercedes Ruehl
Who acted as Rudy Duncan in the movie 'Reindeer Games'?,Ben Affleck
Who acted as Joel in the movie 'Wieners'?,Fran Kranz
Who acted as Edmund Prevensie in the movie 'The Chronicles of Narnia: The Voyage of the Dawn Treader'?,Skandar Keynes
Who acted as Dick in the movie 'High Life'?,Timothy Olyphant
Who acted as Antonio Ricci in the movie 'Bicycle Thieves'?,Lamberto Maggiorani
Who acted as Doc Stanton in the movie 'The Majestic'?,David Ogden Stiers
Who acted as Max Cantrell in the movie 'Invincible'?,Michael Rispoli
Who acted as Liz in the movie 'The Purge: Anarchy'?,Kiele Sanchez
Who acted as Capt. Wes Block in the movie 'Tightrope'?,Clint Eastwood
Who acted as Phoebe in the movie 'Thanks for Sharing'?,Gwyneth Paltrow
Who acted as Jonás in the movie 'Three Many Weddings'?,Quim Gutiérrez
Who acted as Charlie Rutherford in the movie 'The Dinosaur Project'?,Peter Brooke
Who acted as Audhild in the movie 'Cold Prey II'?,Johanna Mørck
Who acted as Sarah Ford in the movie 'Killing Season'?,Elizabeth Olin
Who acted as Necla in the movie 'Winter Sleep'?,Demet Akbag
Who acted as Earl in the movie 'Carlito's Way: Rise to Power'?,Mario Van Peebles
Who acted as Meg in the movie 'Sleepaway Camp'?,Katherine Kamhi
Who acted as Steve Jobs in the movie 'Pirates of Silicon Valley'?,Noah Wyle
Who acted as Charlie Cassotto Maffia in the movie 'Beyond the Sea'?,Bob Hoskins
Who acted as Sonya Blade in the movie 'Mortal Kombat'?,Bridgette Wilson
Who acted as Viktor Navorski in the movie 'The Terminal'?,Tom Hanks
Who acted as Mrs. Anita Atwater in the movie 'Rope'?,Constance Collier
Who acted as Guerrero in the movie 'Dead in Tombstone'?,Danny Trejo
Who acted as Jack Mabry in the movie 'Stone'?,Robert De Niro
Who acted as Dave Robicheaux in the movie 'Heaven's Prisoners'?,Alec Baldwin
Who acted as Doctor Logan in the movie 'Day of the Dead'?,Matt Rippy
Who acted as Earl Delarue in the movie 'Tomboy'?,Philip Sterling
Who acted as  in the movie 'You're Not You'?,Marcia Gay Harden
Who acted as Van Layden in the movie 'North West Frontier'?,Herbert Lom
Who acted as Judy Tokuda in the movie 'Hard Candy'?,Sandra Oh
Who acted as Holloway in the movie 'Cube'?,Nicky Guadagni
Who acted as Briareos in the movie 'Appleseed'?,Jūrōta Kosugi
Who acted as Ali Rey in the movie 'Paranormal Activity 2'?,Molly Ephraim
Who acted as Willard Hewitt in the movie 'Footloose'?,Chris Penn
Who acted as Robbie in the movie 'The Babadook'?,Daniel Henshall
Who acted as Lucius Hunt in the movie 'The Village'?,Joaquin Phoenix
Who acted as Chris in the movie 'Ellie Parker'?,Scott Coffey
Who acted as Nola Carveth in the movie 'The Brood'?,Samantha Eggar
Who acted as Dr. Sarah Roberts in the movie 'The Hunger'?,Susan Sarandon
Who acted as Laura Tomley in the movie 'Chestnut: Hero of Central Park'?,Christine Tucci
Who acted as Elliot in the movie '13 Sins'?,Mark Webber
Who acted as Erin in the movie 'The Texas Chainsaw Massacre'?,Jessica Biel
Who acted as Lureen Newsome in the movie 'Brokeback Mountain'?,Anne Hathaway
"Who acted as Marion in the movie 'The Adventures of Priscilla, Queen of the Desert'?",Sarah Chadwick
Who acted as Herbert West in the movie 'Re-Animator'?,Jeffrey Combs
Who acted as Matty Banks in the movie 'Father of the Bride Part II'?,Kieran Culkin
Who acted as Himself in the movie 'The Captains'?,Chris Pine
Who acted as Ellen Brody in the movie 'Jaws: The Revenge'?,Lorraine Gary
Who acted as Nova in the movie 'Beneath the Planet of the Apes'?,Linda Harrison
Who acted as Emma Busbee in the movie 'Little Boy'?,Emily Watson
Who acted as Madison in the movie 'Prince Avalanche'?,Gina Grande
Who acted as Warren Singleton in the movie 'Memoirs of an Invisible Man'?,Stephen Tobolowsky
Who acted as Rafa in the movie 'Plastic'?,Sebastian de Souza
Who acted as Renée Lomax in the movie 'Nadine'?,Glenne Headly
Who acted as Foley in the movie 'The Samaritan'?,Samuel L. Jackson
Who acted as Saturno in the movie 'Tristana'?,Jesús Fernández
Who acted as Little Arthur in the movie 'Winter's Bone'?,Kevin Breznahan
"Who acted as Tadeo Jones in the movie 'Tad, the Lost Explorer'?",Óscar Barberán
Who acted as Blade in the movie 'Blade: Trinity'?,Wesley Snipes
Who acted as Héléna in the movie 'Subway'?,Isabelle Adjani
Who acted as Leonora in the movie 'Mr. Wonderful'?,Annabella Sciorra
Who acted as Various characters in the movie 'South Park: Imaginationland'?,Mona Marshall
Who acted as Hanley in the movie 'The Legend of Hell House'?,Peter Bowles
Who acted as Sam in the movie 'Passion Play'?,Rhys Ifans
Who acted as Amy Stone in the movie 'The Family Stone'?,Rachel McAdams
Who acted as Kommissar Beizmenne in the movie 'The Lost Honor of Katharina Blum'?,Mario Adorf
Who acted as Rosaleen Daise in the movie 'The Secret Life of Bees'?,Jennifer Hudson
Who acted as Mr. Han in the movie 'Oldboy'?,Kim Byeong-ok
Who acted as Ida Horowicz in the movie 'The Ides of March'?,Marisa Tomei
Who acted as Peter McCallister in the movie 'Home Alone 4'?,Jason Beghe
Who acted as The Trickster in the movie 'Brainscan'?,T. Ryder Smith
Who acted as Lydia in the movie 'Children of a Lesser God'?,Allison Gompf
Who acted as Brian in the movie 'Gigli'?,Justin Bartha
Who acted as Steve Shanahan in the movie 'Shallow Hal'?,Joe Viterelli
Who acted as Amy Carson in the movie 'Mirrors'?,Paula Patton
Who acted as Rosemary Shanahan in the movie 'Shallow Hal'?,Gwyneth Paltrow
Who acted as Quick in the movie 'Harlem Nights'?,Eddie Murphy
Who acted as Campbell Alexander in the movie 'My Sister's Keeper'?,Alec Baldwin
Who acted as Mike Spritzel in the movie 'The Weather Man'?,Nicholas Hoult
Who acted as Gene Kranz in the movie 'Apollo 13'?,Ed Harris
Who acted as Luigi Mario in the movie 'Super Mario Bros.'?,John Leguizamo
Who acted as Virginia Slim in the movie 'Harley Davidson and the Marlboro Man'?,Chelsea Field
Who acted as  in the movie 'The Haunting in Connecticut 2: Ghosts of Georgia'?,Emily Alyn Lind
Who acted as Nur in the movie 'Mustang'?,Doğa Zeynep Doğuşlu
Who acted as Clara in the movie 'Birth'?,Anne Heche
Who acted as Kate in the movie 'Drinking Buddies'?,Olivia Wilde
Who acted as Sonny Watts in the movie 'Suffragette'?,Ben Whishaw
Who acted as Dr. Paul Faulkner in the movie 'The Eye'?,Alessandro Nivola
Who acted as Schorschi in the movie 'Funny Games'?,Stefan Clapczynski
Who acted as Stuart Pearson in the movie 'Aliens in the Attic'?,Kevin Nealon
Who acted as Emeror of China in the movie 'Genghis Khan'?,Robert Morley
Who acted as Richard Lubanski in the movie 'The Miracle of Bern'?,Peter Lohmeyer
Who acted as Billy in the movie 'The Entity'?,David Labiosa
Who acted as Ray Elwood in the movie 'Buffalo Soldiers'?,Joaquin Phoenix
Who acted as Silvia Broome in the movie 'The Interpreter'?,Nicole Kidman
Who acted as Austin Millbarge in the movie 'Spies Like Us'?,Dan Aykroyd
Who acted as Forrest Taft in the movie 'On Deadly Ground'?,Steven Seagal
Who acted as Chow Ching-Chuen in the movie 'Ip Man'?,Simon Yam
Who acted as Freitag in the movie 'Robinson Crusoe'?,William Takaku
Who acted as Michael Whiteacre in the movie 'The Young Lions'?,Dean Martin
Who acted as Father Levesque in the movie 'We're No Angels'?,Hoyt Axton
"Who acted as Captain Hook, Mr Darling in the movie 'Peter Pan'?",Jason Isaacs
Who acted as Black Hand Kelly in the movie 'Tremors 4: The Legend Begins'?,Billy Drago
Who acted as Zibby in the movie 'Liberal Arts'?,Elizabeth Olsen
Who acted as Lt. Col. Iceal Hambleton in the movie 'Bat*21'?,Gene Hackman
Who acted as Pollo in the movie 'Three Steps Above Heaven'?,Álvaro Cervantes
Who acted as Barry Weiss in the movie 'Blitz'?,Aidan Gillen
Who acted as Andrea Anders in the movie 'The Man with the Golden Gun'?,Maud Adams
Who acted as Bobbi Prescott in the movie 'Surveillance'?,Pell James
Who acted as Marcy in the movie 'Cabin Fever'?,Cerina Vincent
Who acted as Bernadette in the movie 'The Jane Austen Book Club'?,Kathy Baker
Who acted as Erica in the movie 'Stuck in Love'?,Jennifer Connelly
Who acted as Camille Javal in the movie 'Contempt'?,Brigitte Bardot
Who acted as Hillary Lichten in the movie 'Phoebe in Wonderland'?,Felicity Huffman
Who acted as Political officer in the movie 'Assembly'?,Ren Quan
Who acted as Xenya in the movie 'Siberian Education'?,Eleanor Tomlinson
Who acted as Simon in the movie 'Beneath'?,Jonny Orsini
Who acted as Mason in the movie 'The Colony'?,Bill Paxton
Who acted as Vicomte Sébastien de Valmont in the movie 'Dangerous Liaisons'?,John Malkovich
Who acted as Jean-Pierre in the movie 'The Visitors'?,Christian Bujeau
Who acted as Tom Goodwin in the movie 'The Day of the Triffids'?,Kieron Moore
Who acted as Kate Filmore in the movie 'Cube²: Hypercube'?,Kari Matchett
Who acted as Avery in the movie 'Red Road'?,Paul Higgins
Who acted as Clémence in the movie 'I Kissed a Girl'?,Camille Cottin
Who acted as Maj. Gen. Bruno Botta in the movie 'Joint Security Area'?,Christoph Hofrichter
Who acted as Eleanor Costello in the movie 'Awakenings'?,Julie Kavner
Who acted as Johnny Squares in the movie 'The Dead Pool'?,Jim Carrey
Who acted as Himself in the movie 'The Pixar Story'?,John Musker
Who acted as Spencer Ludlow in the movie 'The Disappearance of Eleanor Rigby: Him'?,Ciarán Hinds
Who acted as Leo Barnes in the movie 'The Purge: Anarchy'?,Frank Grillo
Who acted as Mrs. Burns in the movie 'A River Runs Through It'?,Edie McClurg
Who acted as Sergej in the movie '23'?,Zbigniew Zamachowski
Who acted as Captain Spock in the movie 'Star Trek IV: The Voyage Home'?,Leonard Nimoy
Who acted as Lt. Cmdr. Hikaru Sulu in the movie 'Star Trek: The Motion Picture'?,George Takei
Who acted as Mathias in the movie 'The Ruins'?,Joe Anderson
Who acted as Yu Jong-won in the movie 'Shiri'?,Han Seok-kyu
Who acted as Sheila in the movie 'Analyze That'?,Donna Marie Recco
Who acted as Mr. Bean in the movie 'Bean'?,Rowan Atkinson
Who acted as Claire in the movie 'Step Up Revolution'?,Megan Boone
Who acted as Hannah in the movie 'Lovely Molly'?,Alexandra Holden
Who acted as Wade Lewis / Lewis Wade in the movie 'Inside Daisy Clover'?,Robert Redford
Who acted as Harry Beaton in the movie 'Brigadoon'?,Hugh Laing
Who acted as Victor Quartermaine in the movie 'The Curse of the Were-Rabbit'?,Ralph Fiennes
Who acted as Rivka in the movie 'The Bag Man'?,Rebecca Da Costa
Who acted as Birdie Steptoe in the movie 'The Night of the Hunter'?,James Gleason
Who acted as Christian Thompson in the movie 'The Devil Wears Prada'?,Simon Baker
Who acted as Larry in the movie 'The Spy Next Door'?,Lucas Till
Who acted as Val Valenzuela in the movie 'The Lincoln Lawyer'?,John Leguizamo
Who acted as Harold Parker Chasen in the movie 'Harold and Maude'?,Bud Cort
Who acted as Agent Sever in the movie 'Ballistic: Ecks vs. Sever'?,Lucy Liu
Who acted as Miss Gribben in the movie 'Cracks'?,Eva Green
Who acted as Ares in the movie 'Wrath of the Titans'?,Edgar Ramírez
Who acted as George Marsh in the movie 'Beneath'?,Jeff Fahey
Who acted as Nicholi in the movie 'Black Dawn'?,Nicholas Davidoff
Who acted as Johnny Eagle in the movie 'Humanoids from the Deep'?,Anthony Pena
Who acted as Ashley in the movie 'Barely Legal'?,Sarah-Jane Potts
Who acted as Travis Preston in the movie 'Legendary: Tomb of the Dragon'?,Scott Adkins
Who acted as Ian Miller in the movie 'My Big Fat Greek Wedding'?,John Corbett
Who acted as Rajan Damodaran in the movie 'Taare Zameen Par'?,Tanay Chheda
Who acted as Wendy Cooper in the movie 'What to Expect When You're Expecting'?,Elizabeth Banks
Who acted as Howard Finster in the movie 'Chasers'?,Crispin Glover
"Who acted as Agent Boshane in the movie 'Me, Myself & Irene'?",Richard Jenkins
Who acted as Behrani in the movie 'House of Sand and Fog'?,Ben Kingsley
Who acted as Liza in the movie 'Triple Dog'?,Scout Taylor-Compton
Who acted as Charlie Kohler/Edouard Saroyan in the movie 'Shoot the Piano Player'?,Charles Aznavour
Who acted as Julian Murch in the movie 'The Best Man Holiday'?,Harold Perrineau
Who acted as Dina in the movie 'The Band's Visit'?,Ronit Elkabetz
Who acted as Christian in the movie 'Stations of the Cross'?,Moritz Knapp
Who acted as Jo Ann Prohaska in the movie 'Thin Ice'?,Lea Thompson
Who acted as Gen. Zachary Taylor in the movie 'Distant Drums'?,Robert Barrat
Who acted as Fred in the movie 'Scooby-Doo! and the Witch's Ghost'?,Frank Welker
Who acted as Larry in the movie 'The Perfect Score'?,Matthew Lillard
Who acted as Miura in the movie 'Ip Man'?,Hiroyuki Ikeuchi
Who acted as Angelo in the movie 'My Big Fat Greek Wedding'?,Joey Fatone
"Who acted as Bubu in the movie 'Sex, Party and Lies'?",Alejo Sauras
Who acted as Jeff Brooks in the movie 'For the Boys'?,Arye Gross
Who acted as Party Girl #1 in the movie 'Somewhere'?,Erin Wasson
Who acted as Alain Charnier in the movie 'The French Connection'?,Fernando Rey
Who acted as Katina in the movie 'I Want You'?,Marina Salas
Who acted as Ted Morgan in the movie 'Just Before I Go'?,Seann William Scott
Who acted as Mickey Goldmill in the movie 'Rocky II'?,Burgess Meredith
Who acted as Uncle Rawiri in the movie 'Whale Rider'?,Grant Roa
Who acted as Lina Kronstein in the movie 'Jakob the Liar'?,Hannah Taylor-Gordon
Who acted as Alice Mitchell in the movie 'Dennis the Menace'?,Lea Thompson
Who acted as Roger Greenberg in the movie 'Greenberg'?,Ben Stiller
Who acted as Ashe Corven in the movie 'The Crow: City of Angels'?,Vincent Pérez
"Who acted as White Witch in the movie 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe'?",Tilda Swinton
Who acted as Barde in the movie 'Valhalla Rising'?,Alexander Morton
Who acted as Jasper in the movie '13'?,Jason Statham
